Academic_Year,Institution_Type_EN,Institution_Type_AR,Campus_Zone_EN,Campus_Zone_AR,Coordinates,LocalFlag_EN,LocalFlag_AR,Gender_EN,Gender_AR,Bachelors,Certificate,Diploma,Doctorate,Foundations,Graduate Certificate,Graduate Diploma,Higher Diploma,Masters,Other أخرى , Total المجموع 
2012-2013,Non-Federal,غير اتحادية,Dubai,دبي ,"25.276987 , 55.296249",Expat,غير مواطن,Female,انثى,"5,748",2,142,31,132,,7,2,948,1,"7,013"
2012-2013,Non-Federal,غير اتحادية,Dubai,دبي ,"25.276987 , 55.296249",Expat,غير مواطن,Male,ذكر,"4,692",2,263,20,199,,2,,"1,268",1,"6,447"
2012-2013,Non-Federal,غير اتحادية,Fujairah,الفجيرة,"25.133300 , 56.250000",Local,مواطن,Female,انثى,656,,27,,2,,1,,,,686
2012-2013,Non-Federal,غير اتحادية,Fujairah,الفجيرة,"25.133300 , 56.250000",Local,مواطن,Male,ذكر,613,,21,,,,,,,,634
2012-2013,Non-Federal,غير اتحادية,Fujairah,الفجيرة,"25.133300 , 56.250000",Expat,غير مواطن,Female,انثى,506,,10,,,,188,,,,704
2012-2013,Non-Federal,غير اتحادية,Fujairah,الفجيرة,"25.133300 , 56.250000",Expat,غير مواطن,Male,ذكر,323,,15,,,,,,,,338
2012-2013,Non-Federal,غير اتحادية,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Local,مواطن,Female,انثى,268,,,,12,,,,7,,287
2012-2013,Non-Federal,غير اتحادية,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Local,مواطن,Male,ذكر,79,,,,4,,,,,,83
2012-2013,Non-Federal,غير اتحادية,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Expat,غير مواطن,Female,انثى,652,,1,,7,,,,85,,745
2012-2013,Non-Federal,غير اتحادية,Ras Al Khaimah,رأس الخيمة,"25.800694 , 55.976200",Expat,غير مواطن,Male,ذكر,407,,1,,11,,,,218,,637
2012-2013,Non-Federal,غير اتحادية,Sharjah,الشارقة,"25.322327 , 55.513641",Local,مواطن,Female,انثى,"3,813",,301,23,91,,,2,344,,"4,574"
